Driver Name	Category	Alternate Name 1	Alternate Name 2	Alternate Name 3	Alternate Name 4	Alternate Name 5
Aaron TELITZ	G	Aaron Telitz				
Aaron WALKER	S	Aaron Walker				
Adam ADELSON	S	Adam Adelson				
Adam ALI	S	Adam Ali				
Adam CHRISTODOULOU	G	Adam Christodoulou				
Adrian D'SILVA	B	Adrian D'Silva				
Adrien CHILA	B	Adrien Chila				
Adrien CLOSMENIL	S	Adrien Closmenil				
Ahmad AL HARTHY	B	Ahmad Al Harthy				
Aidan READ	S	Aidan Read				
Al Faisal AL ZUBAIR	S	Al Faisal Al Zubair				
Alan BRYNJOLFSSON	B	Alan Brynjolfsson				
Alan METNI	B	Alan Metni				
Alban VARUTTI	S	Alban Varutti				
Albert COSTA	P	Albert Costa	Albert Costa Balboa	Albert COSTA BALBOA		
Alec UDELL	S	Alec Udell				
Alejandro GARCIA	S	Alejandro Garcia				
Aleksi NESOV	S	Aleksi Nesov				
Alessandro BALZAN	G	Alessandro Balzan				
Alessandro PIER GUIDI	P	Alessandro Pier Guidi				
Alessio DELEDDA	S	Alessio Deledda				
Alessio PICARIELLO	G	Alessio Picariello				
Alessio ROVERA	P	Alessio Rovera				
Alex AKA	S	Alex Aka	Arkin AKA	Arkin Aka	Alex Arkin AKA	Alex Arkin Aka
Alex BRUNDLE	G	Alex Brundle				
Alex KAPADIA	S	Alex Kapadia				
Alex KIRBY	S	Alex Kirby				
Alex LYNN	P	Alex Lynn	Alexander LYNN	Alexander Lynn		
Alex MALYKHIN	B	Alex Malykhin				
Alex PALOU	P	Alex Palou				
Alex QUINN	G	Alex Quinn	Alexander QUINN			
Alex RIBERAS	G	Alex Riberas				
Alexander BUKHANTSOV	B	Alexander Bukhantsov				
Alexander KOREIBA	S	Alexander Koreiba				
Alexander MATTSCHULL	B	Alexander Mattschull				
Alexander PERONI	G	Alexander Peroni				
Alexander ROSSI	P	Alexander Rossi				
Alexander SIMS	P	Alexander Sims				
Alexander WEST	B	Alexander West				
Alexandre COIGNY	B	Alexandre Coigny				
Alexandre COUGNAUD	S	Alexandre Cougnaud				
Alexandre IMPERATORI	G	Alexandre Imperatori				
Alexandre YVON	B	Alexandre Yvon				
Alfred RENAUER	S	Alfred Renauer				
Aliaksandr MALYKHIN	B	Aliaksandr Malykhin				
Amir FEYZULIN	B	Amir Feyzulin				
Anders FJORDBACH	S	Anders Fjordbach				
Andre LOTTERER	P	Andre Lotterer	André LOTTERER	André Lotterer		
Andre NEGRAO	G	Andre Negrao	André NEGRÃO	André Negrão		
Andrea BERTOLINI	G	Andrea Bertolini				
Andrea CALDARELLI	P	Andrea Caldarelli				
Andreas LASKARATOS	B	Andreas Laskaratos				
Andres LATORRE	B	Andres Latorre	Andres LATORRE CANON	Andres Latorre Canon		
Andrew BENTLEY	B	Andrew Bentley				
Andrew DAVIS	S	Andrew Davis				
Andrew HARYANTO	B	Andrew Haryanto				
Andrew LEE	S	Andrew Lee	Andy LEE	Andy Lee		
Andrew MEYRICK	G	Andrew Meyrick	Andy MEYRICK	Andy Meyrick		
Andrew PINKERTON	S	Andrew Pinkerton				
Andrew WATSON	S	Andrew Watson				
Andrey MUKOVOZ	B	Andrey Mukovoz				
Andy LALLY	G	Andy Lally				
Antares AU	B	Antares Au				
Anthony BARTONE	S	Anthony Bartone				
Anthony LIU	B	Anthony Liu				
Anthony MANTELLA	B	Anthony Mantella				
Anthony WELLS	B	Anthony Wells	Tony WELLS	Tony Wells		
Antoine COMEAU	B	Antoine Comeau				
Antoine DOQUIN	S	Antoine Doquin				
Anton Dias PERERA	B	Anton Dias Perera				
Antonio Felix DA COSTA	P	Antonio Felix Da Costa				
Antonio FUOCO	P	Antonio Fuoco				
Antonio GARCIA	P	Antonio Garcia				
Antonio GIOVINAZZI	P	Antonio Giovinazzi				
Antonio SERRAVALLE	S	Antonio Serravalle				
Ari BALOGH	B	Ari Balogh				
Arjun MAINI	G	Arjun Maini				
Arnold ROBIN	B	Arnold Robin				
Arthur LECLERC	G	Arthur Leclerc				
Ashton HARRISON	S	Ashton Harrison				
Audunn GUDMUNDSSON	B	Audunn Gudmundsson				
Augusto FARFUS	P	Augusto Farfus				
Austin CINDRIC	G	Austin Cindric				
Austin MCCUSKER	S	Austin Mccusker	Austin McCusker			
Axcil JEFFERIES	S	Axcil Jefferies	Axcil JEFFRIES	Axcil Jeffries		
Ayhancan GUVEN	P	Ayhancan Guven				
Ayrton ORI	S	Ayrton Ori				
Bailey VOISIN	S	Bailey Voisin				
Bashar MARDINI	B	Bashar Mardini				
Bastian BUUS	G	Bastian Buus				
Belen GARCIA	S	Belen Garcia	Belén GARCIA	Belén Garcia		
Ben BARNICOAT	P	Ben Barnicoat				
Ben HANLEY	G	Ben Hanley	Benjamin HANLEY	Benjamin Hanley		
Ben KEATING	B	Ben Keating				
Ben TUCK	S	Ben Tuck				
Benja HITES	S	Benja Hites				
Benjamin BARKER	G	Benjamin Barker				
Benjamin PEDERSEN	S	Benjamin Pedersen				
Benjimin GOETHE	G	Benjimin Goethe				
Bent VISCAAL	G	Bent Viscaal				
Bernardo PINHEIRO	S	Bernardo Pinheiro				
Bihuang ZHOU	B	Bihuang Zhou	Zhou BIHUANG	Zhou Bihuang		
Bijoy GARG	S	Bijoy Garg				
Bill AUBERLEN	G	Bill Auberlen				
Bill SWEEDLER	B	Bill Sweedler				
Blake MCDONALD	B	Blake Mcdonald	Blake McDonald	Blake McDONALD		
Brendan IRIBE	B	Brendan Iribe				
Brendon HARTLEY	P	Brendon Hartley				
Brendon LEITCH	S	Brendon Leitch				
Brian THIENES	B	Brian Thienes				
Broc FEENEY	G	Broc Feeney				
Bruno SPENGLER	P	Bruno Spengler				
Bryan SELLERS	G	Bryan Sellers				
Callum ILOTT	P	Callum Ilott				
Cameron SHIELDS	S	Cameron Shields				
Carl BENNETT	S	Carl Bennett	Carl Wattana BENNETT	Carl Wattana Bennett		
Casper STEVENSON	S	Casper Stevenson				
Cedric OLTRAMARE	S	Cedric Oltramare	Cédric OLTRAMARE	Cédric Oltramare		
Cedric SBIRRAZZUOLI	S	Cedric Sbirrazzuoli				
Cem BOLUKBASI	S	Cem Bolukbasi	Cem BÖLÜKBASI			
Chandler HULL	S	Chandler Hull				
Charles CREWS	S	Charles Crews	CR Crews	CR CREWS		
Charles MILESI	P	Charles Milesi				
Charles SCARDINA	B	Charles Scardina				
Charles-Henri SAMANI	B	Charles-Henri Samani				
Charlie EASTWOOD	G	Charlie Eastwood				
Charlie FAGG	G	Charlie Fagg	Charles FAGG	Charles Fagg		
Chris MCMURRY	B	Chris Mcmurry				
Christian BOGLE	S	Christian Bogle				
Christian HOOK	B	Christian Hook				
Christian RASMUSSEN	G	Christian Rasmussen				
Christian RIED	B	Christian Ried				
Christina NIELSEN	B	Christina Nielsen				
Christoph ULRICH	B	Christoph Ulrich				
Christophe CRESP	B	Christophe Cresp				
Christopher ALLEN	S	Christopher Allen				
Christopher HAASE	P	Christopher Haase				
Christopher MIES	P	Christopher Mies				
Claudio SCHIAVONI	B	Claudio Schiavoni				
Clemens SCHMID	S	Clemens Schmid				
Clement MATEU	B	Clement Mateu	Clément MATEU	Clément Mateu		
Clement NOVALAK	G	Clement Novalak	Clément NOVALAK	Clément Novalak		
Colin BRAUN	G	Colin Braun				
Colin KAMINSKY	X	Colin Kaminsky				
Colin NOBLE	G	Colin Noble				
Colton HERTA	G	Colton Herta				
Come LEDOGAR	P	Come Ledogar	Côme LEDOGAR	Côme Ledogar		
Connor BLOUM	S	Connor Bloum				
Connor DE PHILLIPPI	G	Connor De Phillippi				
Connor ZILISCH	S	Connor Zilisch				
Conrad GRUNEWALD	B	Conrad Grunewald				
Conrad LAURSEN	S	Conrad Laursen				
Cooper MACNEIL	S	Cooper MacNeil				
Corey LEWIS	S	Corey Lewis				
Dakota DICKERSON	S	Dakota Dickerson				
Dan GOLDBURG	B	Dan Goldburg				
Dan SKOCDOPOLE	S	Dan Skocdopole	Dan SKOČDOPOLE	Dan Skočdopole		
Dane CAMERON	P	Dane Cameron				
Danial FROST	S	Danial Frost				
Daniel ALI	S	Daniel Ali	Dan ALI	Dan Ali		
Daniel GOLDBURG	B	Daniel Goldburg				
Daniel HARPER	P	Daniel Harper	Dan HARPER	Dan Harper		
Daniel JUNCADELLA	P	Daniel Juncadella				
Daniel MANCINELLI	S	Daniel Mancinelli				
Daniel MORAD	G	Daniel Morad				
Daniel SCHNEIDER	B	Daniel Schneider				
Daniel SERRA	P	Daniel Serra				
Daniil KVYAT	P	Daniil Kvyat				
Danny FORMAL	S	Danny Formal				
Darren LEUNG	B	Darren Leung				
Darren TURNER	G	Darren Turner				
David BECKMANN	G	David Beckmann				
David BRULE	B	David Brule				
David DROUX	G	David Droux				
David FUMANELLI	G	David Fumanelli				
David HEINEMEIER-HANSSON	S	David Heinemeier-Hansson	David HEINEMEIER HANSSON	David Heinemeier Hansson		
David PEREL	S	David Perel				
David PITTARD	G	David Pittard				
Davide RIGON	P	Davide Rigon				
Dennis ANDERSEN	B	Dennis Andersen				
Dennis MARSCHALL	P	Dennis Marschall				
Dennis OLSEN	P	Dennis Olsen				
Derek DEBOER	B	Derek Deboer				
Devlin DEFRANCESCO	S	Devlin Defrancesco				
Diego ALESSI	B	Diego Alessi				
Dillon MACHAVERN	S	Dillon Machavern				
Dirk MUELLER	P	Dirk Mueller	Dirk Müller	Dirk MÜLLER		
Dominic ANG	S	Dominic Ang				
Don YOUNT	B	Don Yount				
Donald YOUNT	B	Donald Yount				
Dorian BOCCOLACCI	G	Dorian Boccolacci				
Doriane PIN	S	Doriane Pin				
Douglas KHOO	B	Douglas Khoo				
Dries VANTHOOR	P	Dries Vanthoor				
Duncan CAMERON	B	Duncan Cameron				
Duncan TAPPY	G	Duncan Tappy				
Dwight MERRIMAN	B	Dwight Merriman				
Dylan MURRY	S	Dylan Murry				
Dylan PEREIRA	G	Dylan Pereira				
Earl BAMBER	P	Earl Bamber				
Eddie CHEEVER	G	Eddie Cheever	Edward CHEEVER	Edward Cheever		
Edoardo MORTARA	P	Edoardo Mortara				
Edouard CAUHAUPE	S	Edouard Cauhaupe				
Edward JONES	G	Edward Jones	Ed JONES	Ed Jones		
Edward PEARSON	S	Edward Pearson				
Efrin CASTRO	B	Efrin Castro				
Elias SABO	B	Elias Sabo				
Elliott SKEER	S	Elliott Skeer				
Emmanuel COLLARD	S	Emmanuel Collard				
Enaam AHMED	G	Enaam Ahmed				
Enzo TRULLI	S	Enzo Trulli				
Eric LUX	B	Eric Lux				
Eric TROUILLET	B	Eric Trouillet				
Erik JOHANSSON	G	Erik Johansson				
Ernie FRANCIS JR.	G	Ernie Francis Jr.				
Erwan BASTARD	S	Erwan Bastard				
Esteban GUERRIERI	P	Esteban Guerrieri				
Esteban GUTIERREZ	P	Esteban Gutierrez				
Esteban MASSON	G	Esteban Masson				
Fabian SCHILLER	G	Fabian Schiller				
Fabien LAVERGNE	S	Fabien Lavergne				
Fabien MICHAL	B	Fabien Michal				
Fabio SCHERER	G	Fabio Scherer				
Fabrice ROSSELLO	B	Fabrice Rossello	Farbrice ROSSELLO	Farbrice Rossello		
Fabrizio CRESTANI	S	Fabrizio Crestani				
Felipe DRUGOVICH	P	Felipe Drugovich				
Felipe FRAGA	G	Felipe Fraga				
Felipe MASSA	P	Felipe Massa				
Felipe NASR	P	Felipe Nasr				
Ferdinand HABSBURG	G	Ferdinand Habsburg	Ferdinand HABSBURG-LOTHRINGEN	Ferdinand Habsburg-Lothringen		
Filip UGRAN	S	Filip Ugran				
Filipe ALBUQUERQUE	P	Filipe Albuquerque				
Finlay HUTCHISON	S	Finlay Hutchison				
Finn GEHRSITZ	B	Finn Gehrsitz	Fin GEHRSITZ	Fin Gehrsitz		
Florian LATORRE	S	Florian Latorre				
Florian SCHOLZE	B	Florian Scholze				
Francesco CASTELLACCI	S	Francesco Castellacci				
Francesco DRACONE	S	Francesco Dracone				
Francesco PIOVANETTI	B	Francesco Piovanetti				
Francesco PIZZI	S	Francesco Pizzi				
Francesco ZOLLO	B	Francesco Zollo				
Franck DEZOTEUX	B	Franck Dezoteux				
Franck MAILLEUX	G	Franck Mailleux				
Franck PERERA	P	Franck Perera				
Francois HERIAU	B	Francois Heriau	François HERIAU	François Heriau		
Francois PERRODO	B	Francois Perrodo	François PERRODO	François Perrodo		
Frankie BIRD	S	Frankie Bird	Frank BIRD	Frank Bird		
Frankie MONTECALVO	S	Frankie Montecalvo				
Franz KONRAD	B	Franz Konrad				
Fraser ROSS	S	Fraser Ross				
Fred MAKOWIECKI	P	Fred Makowiecki				
Fred POORDAD	B	Fred Poordad				
Freddie HUNT	S	Freddie Hunt				
Freddie TOMLINSON	S	Freddie Tomlinson				
Frederic JOUSSET	B	Frederic Jousset				
Frederic MAKOWIECKI	P	Frederic Makowiecki	Frédéric MAKOWIECKI	Frédéric Makowiecki		
Frederic VERVISCH	G	Frederic Vervisch				
Frederick LUBIN	S	Frederick Lubin				
Frederik SCHANDORFF	G	Frederik Schandorff				
Frederik VESTI	P	Frederik Vesti				
Friedrich VAN BOHLEN	B	Friedrich Van Bohlen				
Friedrich VON BOHLEN	B	Friedrich Von Bohlen				
Frits VAN EERD	B	Frits Van Eerd				
Gabby CHAVES	G	Gabby Chaves				
Gabriel AUBRY	G	Gabriel Aubry				
Gabriel CASAGRANDE	S	Gabriel Casagrande				
Gabriel RINDONE	B	Gabriel Rindone				
Gabriele LANCIERI	B	Gabriele Lancieri				
Gabriele RINDONE	B	Gabriele Rindone				
Gael JULIEN	S	Gael Julien				
Gar ROBINSON	B	Gar Robinson				
Garett GRIST	G	Garett Grist				
Garnet PATTERSON	S	Garnet Patterson				
George KURTZ	B	George Kurtz				
George NAKAS	B	George Nakas				
George STAIKOS	B	George Staikos				
Georgios KOLOVOS	B	Georgios Kolovos				
Gerald KRAUT	B	Gerald Kraut	Gerry KRAUT	Gerry Kraut		
Giacomo ALTOE	G	Giacomo Altoe	Giacomo ALTOÈ	Giacomo Altoè		
Giacomo PETROBELLI	B	Giacomo Petrobelli				
Giammarco LEVORATO	S	Giammarco Levorato				
Giancarlo FISICHELLA	P	Giancarlo Fisichella				
Gianmaria BRUNI	P	Gianmaria Bruni	Giammaria BRUNI	Giammaria Bruni		
Giedo VAN DER GARDE	P	Giedo van der Garde				
Gilles MAGNUS	G	Gilles Magnus				
Gillian HENRION	S	Gillian Henrion				
Giorgio RODA	B	Giorgio Roda				
Giorgio SERNAGIOTTO	S	Giorgio Sernagiotto				
Glenn VAN BERLO	S	Glenn van Berlo				
Goncalo GOMES	B	Goncalo Gomes	Gonçalo GOMES	Gonçalo Gomes		
Graham DOYLE	S	Graham Doyle				
Grégoire SAUCY	G	Grégoire Saucy				
Gregory HUFFAKER II	G	Gregory Huffaker II	Gregory HUFFAKER	Gregory Huffaker		
Griffin PEEBLES	S	Griffin Peebles				
Guilherme MOURA DE OLIVEIRA	S	Guilherme Moura De Oliveira	Guilherme DE OLIVEIRA	Guilherme de Oliveira	Guilherme OLIVEIRA	Guilherme Oliveira
Guillermo ROJAS	S	Guillermo Rojas				
Gunnar JEANNETTE	S	Gunnar Jeannette				
Gustav BIRCH	S	Gustav Birch				
Gustavo MENEZES	P	Gustavo Menezes				
Guy SMITH	G	Guy Smith				
Harry GOTTSACKER	S	Harry Gottsacker				
Harry KING	G	Harry King				
Harry TINCKNELL	P	Harry Tincknell				
Heiko NEUMANN	B	Heiko Neumann				
Helio CASTRONEVES	P	Helio Castroneves				
Hendrik STILL	S	Hendrik Still				
Henrik HEDMAN	B	Henrik Hedman				
Henrique CHAVES	P	Henrique Chaves				
Henry WALKENHORST	B	Henry Walkenhorst				
HH Prince Abdul Rahman IBRAHIM	B	HH Prince Abdul Rahman Ibrahim	HH Prince Abdul RAHMAN IBRAHIM			
Hikaru ABE	B	Hikaru Abe				
Hiroshi HAMAGUCHI	B	Hiroshi Hamaguchi				
Hiroshi KOIZUMI	B	Hiroshi Koizumi				
Horst FELBERMAYR	B	Horst Felbermayr				
Horst FELBERMAYR Jr	B	Horst Felbermayr Jr	Horst FELBERMAYR JR	Horst Jr FELBERMAYR		
Horst Felix FELBERMAYR	S	Horst Felix Felbermayr				
