NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
10;1;1;2:01.517;0;;40.263;0;31.638;0;49.616;0;170.3;2:01.517;12:02:37.404;0:40.263;0:31.638;0:49.616;257.1;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;40.263;31.638;49.616;
10;1;2;1:51.150;0;;33.280;0;29.352;0;48.518;0;190.8;3:52.667;12:04:28.554;0:33.280;0:29.352;0:48.518;273.4;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;33.280;29.352;48.518;
10;1;3;1:49.368;0;;32.086;0;29.184;0;48.098;0;193.9;5:42.035;12:06:17.922;0:32.086;0:29.184;0:48.098;274.1;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;32.086;29.184;48.098;
10;1;4;1:48.860;0;;32.254;0;28.316;0;48.290;0;194.8;7:30.895;12:08:06.782;0:32.254;0:28.316;0:48.290;273.4;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;32.254;28.316;48.290;
10;1;5;1:49.006;0;;32.099;0;28.690;0;48.217;0;194.6;9:19.901;12:09:55.788;0:32.099;0:28.690;0:48.217;274.1;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;32.099;28.690;48.217;
10;1;6;1:49.634;0;;31.794;0;28.707;0;49.133;0;193.4;11:09.535;12:11:45.422;0:31.794;0:28.707;0:49.133;274.1;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;31.794;28.707;49.133;
10;1;7;1:49.062;0;;32.869;0;28.358;0;47.835;0;194.5;12:58.597;12:13:34.484;0:32.869;0:28.358;0:47.835;270.7;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;32.869;28.358;47.835;
10;1;8;1:51.791;0;;31.744;0;29.325;0;50.722;0;189.7;14:50.388;12:15:26.275;0:31.744;0:29.325;0:50.722;274.1;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;31.744;29.325;50.722;
10;1;9;1:50.782;0;;31.944;0;30.402;0;48.436;0;191.4;16:41.170;12:17:17.057;0:31.944;0:30.402;0:48.436;276.9;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;31.944;30.402;48.436;
10;1;10;1:50.435;0;;32.865;0;29.098;0;48.472;0;192.0;18:31.605;12:19:07.492;0:32.865;0:29.098;0:48.472;272.7;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;32.865;29.098;48.472;
10;1;11;1:49.204;0;;31.860;0;29.164;0;48.180;0;194.2;20:20.809;12:20:56.696;0:31.860;0:29.164;0:48.180;273.4;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;31.860;29.164;48.180;
10;1;12;1:49.588;0;;31.843;0;29.610;0;48.135;0;193.5;22:10.397;12:22:46.284;0:31.843;0:29.610;0:48.135;273.4;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;31.843;29.610;48.135;
10;1;13;1:50.008;0;;33.325;0;28.333;0;48.350;0;192.8;24:00.405;12:24:36.292;0:33.325;0:28.333;0:48.350;271.4;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;33.325;28.333;48.350;
10;1;14;1:48.909;0;;31.950;0;29.165;0;47.794;0;194.7;25:49.314;12:26:25.201;0:31.950;0:29.165;0:47.794;272.7;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;31.950;29.165;47.794;
10;1;15;1:48.920;0;;31.793;0;29.125;0;48.002;0;194.7;27:38.234;12:28:14.121;0:31.793;0:29.125;0:48.002;274.8;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;31.793;29.125;48.002;
