NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
10;1;1;2:25.717;0;;37.758;0;1:00.135;0;47.824;0;170.0;2:25.717;13:02:33.383;0:37.758;1:00.135;0:47.824;284.4;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;SF;37.758;60.135;47.824;
10;1;2;4:20.070;0;;1:19.528;0;1:52.470;0;1:08.072;0;97.0;6:45.787;13:06:53.453;1:19.528;1:52.470;1:08.072;;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;SF;79.528;112.470;68.072;
10;1;3;4:19.306;0;;1:29.698;0;1:53.265;0;56.343;0;97.2;11:05.093;13:11:12.759;1:29.698;1:53.265;0:56.343;;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;SF;89.698;113.265;56.343;
10;1;4;3:06.098;0;;58.564;0;1:19.951;0;47.583;0;135.5;14:11.191;13:14:18.857;0:58.564;1:19.951;0:47.583;205.6;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;58.564;79.951;47.583;
10;1;5;2:06.890;0;;35.805;0;58.783;0;32.302;0;198.7;16:18.081;13:16:25.747;0:35.805;0:58.783;0:32.302;298.5;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;35.805;58.783;32.302;
10;1;6;2:05.843;0;;36.107;0;57.762;0;31.974;0;200.4;18:23.924;13:18:31.590;0:36.107;0:57.762;0:31.974;299.3;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;36.107;57.762;31.974;
10;1;7;2:04.712;0;;35.615;0;57.246;1;31.851;1;202.2;20:28.636;13:20:36.302;0:35.615;0:57.246;0:31.851;300.2;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;35.615;57.246;31.851;
10;1;8;2:05.123;0;;35.612;0;57.471;0;32.040;0;201.5;22:33.759;13:22:41.425;0:35.612;0:57.471;0:32.040;300.2;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;35.612;57.471;32.040;
10;1;9;2:05.446;0;;35.486;1;57.866;0;32.094;0;201.0;24:39.205;13:24:46.871;0:35.486;0:57.866;0:32.094;300.2;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;35.486;57.866;32.094;
10;1;10;2:06.038;0;;35.499;0;57.879;0;32.660;0;200.1;26:45.243;13:26:52.909;0:35.499;0:57.879;0:32.660;301.8;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;35.499;57.879;32.660;
10;1;11;2:06.986;0;;36.041;0;59.055;0;31.890;0;198.6;28:52.229;13:28:59.895;0:36.041;0:59.055;0:31.890;297.7;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;36.041;59.055;31.890;
10;1;12;2:10.967;0;;35.534;0;1:02.683;0;32.750;0;192.5;31:03.196;13:31:10.862;0:35.534;1:02.683;0:32.750;301.8;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;35.534;62.683;32.750;
10;1;13;2:07.891;0;;35.473;0;59.568;0;32.850;0;197.2;33:11.087;13:33:18.753;0:35.473;0:59.568;0:32.850;301.0;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;35.473;59.568;32.850;
10;1;14;2:06.481;0;;35.522;0;58.757;0;32.202;0;199.4;35:17.568;13:35:25.234;0:35.522;0:58.757;0:32.202;301.0;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;35.522;58.757;32.202;
10;1;15;2:07.181;0;;35.554;0;58.806;0;32.821;0;198.3;37:24.749;13:37:32.415;0:35.554;0:58.806;0:32.821;301.0;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;35.554;58.806;32.821;
10;1;16;2:13.099;0;B;35.816;0;58.244;0;39.039;0;189.4;39:37.848;13:39:45.514;0:35.816;0:58.244;0:39.039;298.5;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;35.816;58.244;39.039;
10;1;17;6:07.825;0;;2:22.931;0;2:17.719;0;1:27.175;0;68.5;45:45.673;13:45:53.339;2:22.931;2:17.719;1:27.175;;Ryan CULLEN;0:01:02.774;LMP2;;Vector Sport;Oreca;GF;142.931;137.719;87.175;
10;1;18;5:18.302;0;;1:42.915;0;2:09.657;0;1:25.730;0;79.2;51:03.975;13:51:11.641;1:42.915;2:09.657;1:25.730;;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;102.915;129.657;85.730;
10;1;19;3:03.110;0;;1:15.985;0;1:05.385;0;41.740;0;137.7;54:07.085;13:54:14.751;1:15.985;1:05.385;0:41.740;225.3;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;SF;75.985;65.385;41.740;
10;1;20;4:50.367;0;;1:28.850;0;1:45.329;0;1:36.188;0;86.8;58:57.452;13:59:05.118;1:28.850;1:45.329;1:36.188;134.1;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;SF;88.850;105.329;96.188;
10;1;21;4:15.886;0;;1:23.348;0;1:40.084;0;1:12.454;0;98.5;1:03:13.338;14:03:21.004;1:23.348;1:40.084;1:12.454;;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;SF;83.348;100.084;72.454;
10;1;22;2:53.186;0;;48.190;0;1:14.854;0;50.142;0;145.6;1:06:06.524;14:06:14.190;0:48.190;1:14.854;0:50.142;148.6;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;48.190;74.854;50.142;
10;1;23;2:14.837;0;;37.169;0;1:00.082;0;37.586;0;187.0;1:08:21.361;14:08:29.027;0:37.169;1:00.082;0:37.586;293.7;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;SF;37.169;60.082;37.586;
10;1;24;4:17.442;0;;1:12.772;0;1:55.471;0;1:09.199;0;97.9;1:12:38.803;14:12:46.469;1:12.772;1:55.471;1:09.199;;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;SF;72.772;115.471;69.199;
10;1;25;2:58.758;0;;46.173;0;1:16.635;0;55.950;0;141.1;1:15:37.561;14:15:45.227;0:46.173;1:16.635;0:55.950;236.1;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;46.173;76.635;55.950;
10;1;26;2:09.756;0;;36.003;0;1:01.034;0;32.719;0;194.3;1:17:47.317;14:17:54.983;0:36.003;1:01.034;0:32.719;297.7;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;36.003;61.034;32.719;
10;1;27;3:46.733;0;;35.937;0;1:43.951;0;1:26.845;0;111.2;1:21:34.050;14:21:41.716;0:35.937;1:43.951;1:26.845;301.0;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;SF;35.937;103.951;86.845;
10;1;28;3:36.494;0;;1:22.945;0;1:29.111;0;44.438;0;116.5;1:25:10.544;14:25:18.210;1:22.945;1:29.111;0:44.438;;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;SF;82.945;89.111;44.438;
10;1;29;3:00.031;0;;47.084;0;1:23.769;0;49.178;0;140.1;1:28:10.575;14:28:18.241;0:47.084;1:23.769;0:49.178;211.6;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;47.084;83.769;49.178;
